race,driver,LTD
Lando Norris,7,1.018264
Lando Norris,6,1.018386
Lando Norris,5,1.010082
Lando Norris,4,1.029886
Lando Norris,3,1.014239
Lando Norris,2,1.015193
Lando Norris,1,1.015153
Lewis Hamilton,22,1.004246
Lewis Hamilton,21,1.01226
Lewis Hamilton,20,1.009087
Lewis Hamilton,19,1.00919
Lewis Hamilton,18,1.006495
Lewis Hamilton,17,1.004275
Lewis Hamilton,16,1.013072
Lewis Hamilton,15,1.009282
Lewis Hamilton,14,1.00656
Lewis Hamilton,13,1.005436
Lewis Hamilton,11,1.007194
Lewis Hamilton,10,1.00288
Lewis Hamilton,9,1.011901
Lewis Hamilton,8,1.007117
Lewis Hamilton,7,1.006464
Lewis Hamilton,6,1.005773
Lewis Hamilton,5,1.014375
Lewis Hamilton,4,1.007502
Lewis Hamilton,3,1.00314
Lewis Hamilton,2,1.009798
Lewis Hamilton,1,1.006536
Max Verstappen,22,1.004121
Max Verstappen,21,1.016476
Max Verstappen,20,1.004951
Max Verstappen,19,1.010646
Max Verstappen,18,1.003885
Max Verstappen,17,1.004839
Max Verstappen,16,1.008099
Max Verstappen,15,1.01737
Max Verstappen,14,1.007156
Max Verstappen,13,1.004381
Max Verstappen,11,1.022161
Max Verstappen,9,1.002047
Max Verstappen,8,1.003486
Max Verstappen,7,1.002739
Max Verstappen,6,1.00575
Max Verstappen,5,1.006098
Max Verstappen,4,1.009119
Max Verstappen,3,1.004578
Max Verstappen,2,1.00635
Max Verstappen,1,1.006786
Mick Schumacher,22,1.035165
Mick Schumacher,20,1.040973
Mick Schumacher,19,1.042278
Mick Schumacher,17,1.042568
Mick Schumacher,16,1.043818
Mick Schumacher,15,1.032594
Mick Schumacher,14,1.031136
Mick Schumacher,13,1.053958
Mick Schumacher,11,1.032592
Mick Schumacher,10,1.039919
Mick Schumacher,9,1.035259
Mick Schumacher,8,1.039499
Mick Schumacher,7,1.034185
Mick Schumacher,6,1.028166
Mick Schumacher,5,1.045712
Mick Schumacher,4,1.042823
Mick Schumacher,3,1.037105
Mick Schumacher,2,1.033905
Mick Schumacher,1,1.033843
Nicholas Latifi,22,1.035817
Nicholas Latifi,21,1.034222
Nicholas Latifi,20,1.037748
Nicholas Latifi,19,1.036576
Nicholas Latifi,18,1.039845
Nicholas Latifi,17,1.038037
Nicholas Latifi,16,1.024981
Nicholas Latifi,15,1.02515
Nicholas Latifi,14,1.015084
Nicholas Latifi,13,1.044819
Nicholas Latifi,11,1.025535
Nicholas Latifi,10,1.026269
Nicholas Latifi,9,1.0287
Nicholas Latifi,8,1.034849
Nicholas Latifi,7,1.030008
Nicholas Latifi,6,1.025371
Nicholas Latifi,5,1.029741
Nicholas Latifi,4,1.039772
Nicholas Latifi,3,1.040129
Nicholas Latifi,1,1.041539
Pierre Gasly,22,1.024792
Pierre Gasly,21,1.029648
Pierre Gasly,20,1.024237
Pierre Gasly,19,1.024816
Pierre Gasly,18,1.01503
Pierre Gasly,16,1.012155
Pierre Gasly,15,1.022626
Pierre Gasly,13,1.023784
Pierre Gasly,11,1.018301
Pierre Gasly,10,1.019116
Pierre Gasly,9,1.014933
Pierre Gasly,7,1.020179
Pierre Gasly,6,1.014637
Pierre Gasly,5,1.016083
Pierre Gasly,4,1.031399
Pierre Gasly,3,1.019608
Pierre Gasly,2,1.025313
Pierre Gasly,1,1.019625
Raikkonen-Kubica,22,1.032964
Raikkonen-Kubica,21,1.038924
Raikkonen-Kubica,20,1.028458
Raikkonen-Kubica,19,1.028518
Raikkonen-Kubica,18,1.02084
Raikkonen-Kubica,17,1.033786
Raikkonen-Kubica,16,1.025448
Raikkonen-Kubica,15,1.022976
Raikkonen-Kubica,14,1.017199
Raikkonen-Kubica,13,1.045681
Raikkonen-Kubica,11,1.022692
Raikkonen-Kubica,10,1.027362
Raikkonen-Kubica,9,1.022796
Raikkonen-Kubica,8,1.026482
Raikkonen-Kubica,7,1.029129
Raikkonen-Kubica,6,1.029414
Raikkonen-Kubica,5,1.025254
Raikkonen-Kubica,4,1.037289
Raikkonen-Kubica,2,1.030684
Raikkonen-Kubica,1,1.021269
Sebastian Vettel,22,1.03112
Sebastian Vettel,21,1.03848
Sebastian Vettel,20,1.025844
Sebastian Vettel,19,1.028184
Sebastian Vettel,18,1.020229
Sebastian Vettel,17,1.028738
Sebastian Vettel,16,1.020557
Sebastian Vettel,15,1.020564
Sebastian Vettel,14,1.015394
Sebastian Vettel,13,1.035165
Sebastian Vettel,11,1.012766
Sebastian Vettel,10,1.024208
Sebastian Vettel,9,1.020506
Sebastian Vettel,8,1.02787
Sebastian Vettel,7,1.021196
Sebastian Vettel,6,1.014324
Sebastian Vettel,5,1.014243
Sebastian Vettel,4,1.034843
Sebastian Vettel,3,1.022443
Sebastian Vettel,2,1.032359
Sebastian Vettel,1,1.032347
Sergio Perez,22,1.010693
Sergio Perez,20,1.020553
Sergio Perez,19,1.011449
Sergio Perez,18,1.006737
Sergio Perez,17,1.011845
Sergio Perez,16,1.011361
Sergio Perez,15,1.015626
Sergio Perez,14,1.005298
Sergio Perez,13,1.02423
Sergio Perez,10,1.016977
Sergio Perez,9,1.015902
Sergio Perez,8,1.009838
Sergio Perez,7,1.007811
Sergio Perez,6,1.007911
Sergio Perez,5,1.008442
Sergio Perez,4,1.022107
Sergio Perez,3,1.011433
Sergio Perez,2,1.01944
Sergio Perez,1,1.012687
Valtteri Bottas,22,1.02332
Valtteri Bottas,21,1.019065
Valtteri Bottas,20,1.022212
Valtteri Bottas,19,1.011492
Valtteri Bottas,18,1.02756
Valtteri Bottas,17,1.018526
Valtteri Bottas,16,1.004791
Valtteri Bottas,15,1.02261
Valtteri Bottas,14,1.005514
Valtteri Bottas,13,1.014724
Valtteri Bottas,10,1.007672
Valtteri Bottas,9,1.009225
Valtteri Bottas,8,1.013122
Valtteri Bottas,7,1.009064
Valtteri Bottas,6,1.021231
Valtteri Bottas,5,1.00468
Valtteri Bottas,4,1.015069
Valtteri Bottas,3,1.005064
Valtteri Bottas,2,1.035908
Valtteri Bottas,1,1.008048
Yuki Tsunoda,22,1.022849
Yuki Tsunoda,21,1.032648
Yuki Tsunoda,20,1.027789
Yuki Tsunoda,19,1.036681
Yuki Tsunoda,17,1.028359
Yuki Tsunoda,16,1.026515
Yuki Tsunoda,15,1.026897
Yuki Tsunoda,13,1.037914
Yuki Tsunoda,11,1.025845
Yuki Tsunoda,10,1.022273
Yuki Tsunoda,9,1.019856
Yuki Tsunoda,8,1.026307
Yuki Tsunoda,7,1.026169
Yuki Tsunoda,6,1.016774
Yuki Tsunoda,5,1.029816
Yuki Tsunoda,3,1.025972
Yuki Tsunoda,2,1.022273
Yuki Tsunoda,1,1.019702
Nikita Mazepin,20,1.050232
Nikita Mazepin,19,1.050622
Nikita Mazepin,18,1.05362
Nikita Mazepin,17,1.053885
Nikita Mazepin,16,1.046576
Nikita Mazepin,15,1.041555
Nikita Mazepin,14,1.033661
Nikita Mazepin,13,1.049891
Nikita Mazepin,10,1.039176
Nikita Mazepin,9,1.042378
Nikita Mazepin,8,1.0481
Nikita Mazepin,7,1.036913
Nikita Mazepin,6,1.036676
Nikita Mazepin,5,1.050546
Nikita Mazepin,4,1.052912
Nikita Mazepin,3,1.044504
Nikita Mazepin,2,1.049684
